312119714895765504	neutral		http://t.co/1qpEXD1anC<=CLICK 500 FREE #FOLLOWERS #TeenageLoveThings #StillIntoYou #Bergoglio #CJrPosterPremier #directionersday #askbeau 12
312168736364822528	positive		Pope Francis, formally known as Cardinal Jorge Mario Bergoglio of Buenos Aires, is the first non european to lead the R C church.
311994788561952768	neutral		TwSearch: @ #Stratfor #GIFiles related to newly elected #Pope #PopeFrancis http://t.co/fLHpLAjYf4   #bergoglio... http://t.co/u6npTLX5P5
312085845056319489	neutral		From public transport to popemobile: Bergoglio's journey to top of the church:
312979163642470400	negative		Evita, the Swiss and the Nazis: From the Archive: Jorge Bergoglio’s election to be Pope Francis has revived tr... http://t.co/R6KMLrQJkv
311962481180409856	neutral		@nbc6 MT @ChrisYandle: media outlets reporting that @Pontifex is first non-European Pope. Not true. He's the 11th. http://t.co/DO3ca64XaO
311988212950265856	positive		Pope Francis known as champion of poor http://t.co/5S9gWstQ4T via @rapplerdotcom
311962475866234880	positive		Jorge Mario Bergoglio: the humble pope with practical approach to poverty http://t.co/rxCIF1tN3l
313678279225786370	negative		FRANCIS (Jorge Mario Bergoglio) an Argentinian Jesuit from "the end of the world"-- may end up taking you there... http://t.co/EY1wDfI42Z
312303039816036352	positive		Jorge Mario Bergoglio: the humble pope with practical approach to poverty http://t.co/rS7PA9DZm3
312538590737465344	neutral		"Habemus Papam" Cardinal Jorge Mario Bergoglio has been elected Pope Francis | A set on Flickr http://t.co/oSn9kY0snQ
313312583610408960	neutral		Four minute speech secured papacy for Cardinal Bergoglio http://t.co/eYmbbTAQq4
312031155576778752	negative		@NewsworthyNews @AlterNet "Francis I", Jorge Mario Bergoglio, is accused of helping kidnap opponents of Argentina's
312246036196368384	neutral		We Have a New Pope: Cardinal Bergoglio Is Pope Francis  http://t.co/pVxLCWQowr via @NewYorker
312195185574567936	positive		The humble pope with practical approach...: The humble pope with practical approach...(Top headline, 3rd story... http://t.co/lYwh5GcQTP
312154667746480128	neutral		Hundreds of faithful Catholics waited in the rain for hours at St. Peter's Square on Wednesday, March 13, 2013,... http://t.co/WnMiVw5l0O
312074056079929344	neutral		Jorge Mario Bergoglio, cardinal from Buenos Aires, has just been elected new pope, titled Francis I. Habemus Papam!
312228743626235905	neutral		#F4F #news #TAF #FF Five stories conclave overshadowed: The election of Jorge Bergoglio as P... http://t.co/L7h1KTOr3Q #tfb #FollowNGain
311957910718656512	neutral		@perfilcom Basta de decir Francisco I, it's just Francisco. #Bergoglio
312619479853051905	negative		Pope Francis Kidnapping Controversy: Jorge Mario Bergoglio Accused Of Involvement In 1976 Abduct... http://t.co/Y2mzyFaDb2 LOL WTF!
312093147033374720	neutral		Bergoglio's journey: For the first time in the modern era, a non-European was elected Wednesday to lead the ch... http://t.co/copteVDIon
311944233739227136	neutral		Live from the Vatican: From Papal security to Bergoglio's background, here are some briefs on the new Pontiff http://t.co/AN17guJpb7
312579929751568384	negative		Pope Francis Kidnapping Controversy: Jorge Mario Bergoglio Accused Of Involvement In 1976 Abductions http://t.co/yus4LvyjcK  @huffingtonpost
312648931211374593	neutral		Turn thee, Bergoglio, look upon thy death. Shakespeare feat Vaticano.
312166444622295040	neutral		Congrats to Cardinal Iorge Mario Bergoglio from Argentina to be Pope Fransciscus I #TheNewPope
312185805470855168	neutral		I liked a @YouTube video http://t.co/TltM8VI2zz The New NWO Pope Jorge Mario Bergoglio , Pope Francis I who is he ?
312830675805941760	negative		[Gawker] The Priest Kidnapped Under Bergoglio in Argentina Has Given the Strangest Statement About the Incident http://t.co/zLeG46mRZy
312133399345242112	negative		Jorge Mario Bergoglio: Did Pope Francis I fail to stand up to Argentina's brutal junta?: Critics say Jorge Mar... http://t.co/AuEwHwPw1b
311952604873773056	neutral		Jorge Mario #Bergoglio, Argentina, #Pope. Lionel Andrés #Messi, Argentina, #God. I'm thinking the Argentines are going for world domination!
312209067894517761	negative		Now this is partially f'n retarded ""  #Bergoglio
311960195637051392	neutral		@stfudustin : Argentina's Bergoglio Is the New Pope:   @BadKidAndrew
312208305835630592	neutral		Pope Francis I emerges to cheers of 'Viva il Papa': The selection of Jorge Bergoglio, a Jesuit from Argentina,... http://t.co/2nCr45gdzG
312178690924621824	neutral		Member Post: Bergoglio: A pope of paradox for a church in transition - Articles http://t.co/bxkMChRBuP
