275477593409597440	positive	@Moneyweb: Is #Microsoft taking a bite out of #Apple? Apple’s appeal may finally be at risk. http://t.co/EQMY5Nzv
273190088752631808	positive	RT @NeowinFeed: http://t.co/NdSmruWO adds Windows 8 support to over 400 older PC games #gog.com #microsoft http://t.co/2fpYMZW9 #neowin
269200552158695424	positive	If u like facebook and twitter and are 24/7 on it. #WindowsPhone aint for you. Otherwise what a piece of kit #Nokia and #Microsoft hav made.
271716021138776064	positive	RT @QuanTechResume: #Microsoft reduces reliance on electric #grid with biogas and fuel cells - The CIO Report - WSJ http://t.co/LYMUFIBx
270397913388154880	negative	RT @aeyrton: So #Oprah loves #Microsoft #Surface enough to give away. Just not enough to use. https://t.co/Qb5M9E4S (via @treestman  @DrPizza) #iPad
271006233534791680	negative	http://t.co/SLqNUfoI // #ouch. Nielson gives #microsoft a lesson in user testing before launch.
272874888711262208	negative	Not sure if #Microsoft realises people use a thing called a KEYBOARD. It’s really fucking useful to remove from Win8 control panel. WTF
273266146873069568	negative	Win Long File Names Errors, you piss me off! #Microsoft how did you get so rich on such a shitty OS stolen from someone else?
270939621901357056	positive	Thank you. #microsoft http://t.co/F3A0DZGf
269549087060271104	positive	German council says #opensource #OpenOffice, wants to go back to #Microsoft #Office http://t.co/RGjkvRwA
273302652182462464	negative	#Microsoft to raise user licensing fees in response to 'BYOD' movement http://t.co/uwFIx3D8
272280868691795970	positive	@Colvinius #Microsoft #Patent suggests using #Kinect to sense the no. of people watching DVDs #Copyright | http://t.co/fJENNEE5
276045599802028033	positive	Fable II Returns to Xbox Live Games on Demand http://t.co/V1bqtWfR #fable2 #Microsoft #xbox360
275850978073382912	negative	Come on, #Microsoft - fix your goddamn #extranet services and make them work with OTHER browsers also, like #Firefox or #Chrome
272800517443432448	negative	Here's Some Bad News If You Bought A Windows Phone This Year http://t.co/Df1F1IHv Both of you! #microsoft #windows7.8
271462510140469248	positive	Great Customer Immersion Experience sessions #Microsoft #adelaide #chamonixitconsulting #businessintelligence
275741125405462528	positive	2 Key #Benefits #Windows #Server 2012 Offers @RedDevNews #microsoft http://t.co/nNyouv8x
271780514023763969	negative	RT @AnarchistVoice: #Microsoft is a one percenter corporation. #BoycottMicrosoftt & break free from the oligarchy. Use Linux. #Linux is warm, easy and lovable.
269615276281171968	positive	Want to learn #EmailMarketing? Come to #Microsoft Store in Santa Clara this Mon, 11/19 from 830a-1030a. Free RSVP: http://t.co/WBRz2PFD
275924711274323968	positive	Completed 2 Years last week as an Evangelist in my most favorite team in the world - Microsoft DPE :) #Work #Love #Microsoft #Evangelism
275218998042431488	positive	#WeSupportPMLN IT revolution: #Microsoft – Rozgar Scheme will train laptops receiving students to generate a healthy income via the internet
268677344334602240	positive	#Google Releases Search App For #Microsoft Surface & Windows RT http://t.co/2Dg1AACf via @sengineland
269202646727020545	positive	Windows Phone 7.8 update features look promising #windows #phone7.8 #microsoft #technology http://t.co/Pqa8Gu9l
269174109936701440	negative	Didn't get your #Microsoft #Surface with 32 GB in time? just sue the shop at least if you are in US and US lawyer http://t.co/Ypf6zrk2
274169420270686208	negative	Chinese state media says #Cisco, #IBM, #Google, #Microsoft & others help US govt spy & attack Chinese infrastructure. http://t.co/p25eXwlT
272490332984336384	positive	#Microsoft 'planning #Xbox set-top box': #Microsoft's tipped to be working on an #Xbox set-top box, lower-cost t... http://t.co/TtQ5lrMi
273749824661229568	negative	RT @ptracesecurity: How to exploit CVE-2010-3333 http://t.co/IQzH61lN #exploitdev #nato #cybercrime #Microsoft #RTF #hacking #itsec
270816475768573952	positive	Great session with Hitachi Solutions talking to a large social care charity about joined up #microsoft dynamics & #sharepoint #partnership
268647602344562688	positive	Will Tschumy on #Microsoft #Design Principles http://t.co/bPFIcUNs
271650628005158912	positive	#Microsoft Patent Shows It’s Working On A #Google Glass Type Device Of Its Own http://t.co/AEDHLbaJ
273451657323479042	positive	RT @Windows4live: Meet Bumble. See his speed-dating Live Tiles on the new Windows Phone.  http://t.co/JoPBVdsB #windowsphone #microsoft
273603569263972353	positive	RT @NeowinFeed: 750,000 US Xbox 360 consoles sold during Black Friday week #microsoft #xbox360 http://t.co/ZRKDzfZz #neowin
270518981700513792	positive	RT @MicrosoftEMEA: High excitement in #Dubai today for the #Windows8 event at the iconic Burj Khalifah! #Microsoft #UAE
274736633948012544	positive	WP7.8 update to roll out in early 2013:) #WindowsPhone #Microsoft
272772916700147713	positive	Collaborate.  Connect.  Communicate. #Microsoft #Dynamics #CRM Online is even better with Microsoft Office 365. ... http://t.co/6sLNwwDW
270447907159818240	negative	Aerosol Crimes (aka "chemtrails") Clifford Carnicom http://t.co/rguLiiQK #billgates #microsoft #chemtrails #mercury-#vaccines
272278430249275393	positive	#Microsoft Patent Suggests Using #Kinect Hardware as a Sensor to Assess the No. of People Watching DVDs #Copyright | http://t.co/fJENNEE5
274912021542215680	negative	#Microsoft Rumored to be Slowing #Surface Production - http://t.co/s0KBI6CD
272208339776192513	negative	#Microsoft Word will never understand that my name is NOT a spelling mistake
268908363277037568	negative	Ack! Where the heck did Azure Reporting and Data Sync go??!?! http://t.co/RrMDvAgj #microsoft
269244800627265537	positive	#Microsoft are clearly having a comeback. http://t.co/qCjs50VJ!
270296117307138049	negative	RT @bg_flashheart: #microsoft bombing my football games with childlike songs will not encourage me to get rid of my #iPad
271314092000686081	positive	#Microsoft Reportedly Plans Stripped Down #Xbox Set-Top Box To Compete With #Apple TV, #Roku: http://t.co/p7H3vFSr | #devices #entertainment
271989775437799426	negative	Think it's Mac time: "Nine Things You’ll Hate about Windows 8 - http://t.co/0EHszMSg" #microsoft
269286159841103872	negative	The Beginning of Microsoft's End? http://t.co/hd2gAvGp by @IT_ToddNIelsen #Microsoft #MSP #VAR
274240015675031552	negative	What the fucks up with this Xbox update?! #microsoft #sortitout
268902180747087874	positive	#Microsoft #Surface commercial makes me actually consider "thinking" about a @Surface
272618019568615425	negative	Pakistani domain names reportedly hijacked, affecting #Google, #Apple, and #Microsoft http://t.co/nUWPt5Jn
268492068454805504	negative	#Microsoft #Cloud Why isn't Microsoft's answer to Siri built into Windows 8?: Microsoft's cloud-storage ser... http://t.co/vcqkQhK4 #TCN
270561235215454208	negative	NewEgg: Windows 8 sales are "slow going" so far #microsoft #windows8 http://t.co/CmHRms8d
273906278349283328	negative	Sorry, #Microsoft, I’m Not Buying Your Attack on #Google Shopping — Here’s Why http://t.co/Mh2OGi6f #techland #tech #new
274610859744038912	negative	Fucked up... #Microsoft word
273563667977605120	negative	Screw you Microsoft Professional! I don't need your Publisher - Word is just as good!! :P #microsoftword #microsoft http://t.co/Cv1GXuaQ
271803310544150528	positive	Xbox TV Reportedly Incoming In 2013 http://t.co/0UkItgQe #Microsoft #Xbox
274905828383940608	positive	RT @rspruijt: #Microsoft's Cloud OS: A Vision of Infrastructure's Future: http://t.co/TjmjHpLR
269057821889409025	negative	Google, Microsoft named among top five ‘best places to work’ in the world http://t.co/IKHMrHcx #Business #google #microsoft
275770549412716546	positive	#Microsoft Announces #WindowsPhone Developer Revenue And App Downloads Have Doubled - Forbes http://t.co/NPzIrkcF (From like $10k to $20k?)
274804254890409984	negative	how miserable do you have to be to have a punch line in your commercial that states that your product sucks.. less? #IE #Microsoft #NewAd
274749141349969922	negative	#surface fucking nuts I rather buy a laptop #microsoft #windows8 http://t.co/7GP45aDE
273752119784398848	positive	Heating up RT @neelspeak: #Microsoft gets patent on augmented reality glasses as 'AR wars' start http://t.co/5St3ou75 via @guardian #AR
